train_loss,step,epoch,train_acc,val_acc,val_loss
1.6648437976837158,0,0,0.21875,,
,0,0,,0.4375,0.9557154178619385
0.8932176232337952,1,1,0.5625,,
,1,1,,0.4375,1.142866611480713
0.4711710512638092,2,2,0.96875,,
,2,2,,0.4375,1.1631542444229126
0.29881536960601807,3,3,0.90625,,
,3,3,,0.21875,1.6908388137817383
0.17296715080738068,4,4,0.90625,,
,4,4,,0.40625,1.5996555089950562
0.07211718708276749,5,5,1.0,,
,5,5,,0.4375,1.662097692489624
0.06647052615880966,6,6,1.0,,
,6,6,,0.4375,1.9342879056930542
0.034139879047870636,7,7,1.0,,
,7,7,,0.4375,2.236788034439087
0.02460847981274128,8,8,1.0,,
,8,8,,0.4375,2.48652720451355
0.020290402695536613,9,9,1.0,,
,9,9,,0.4375,2.68477463722229
0.010413721203804016,10,10,1.0,,
,10,10,,0.4375,2.8559987545013428
0.006286621559411287,11,11,1.0,,
,11,11,,0.4375,3.017014503479004
0.0049455733969807625,12,12,1.0,,
,12,12,,0.4375,3.164844512939453
0.00376856024377048,13,13,1.0,,
,13,13,,0.4375,3.3041579723358154
0.002908660564571619,14,14,1.0,,
,14,14,,0.4375,3.4355218410491943
0.002073652343824506,15,15,1.0,,
,15,15,,0.4375,3.5612387657165527
0.0020000836811959743,16,16,1.0,,
,16,16,,0.4375,3.6850574016571045
0.0011233222903683782,17,17,1.0,,
,17,17,,0.4375,3.7939202785491943
0.0007633136119693518,18,18,1.0,,
,18,18,,0.4375,3.8869736194610596
0.0007753885583952069,19,19,1.0,,
,19,19,,0.4375,3.963534355163574
0.0005889495369046926,20,20,1.0,,
,20,20,,0.4375,4.021190166473389
0.00044575813808478415,21,21,1.0,,
,21,21,,0.4375,4.06247615814209
0.0004318653082009405,22,22,1.0,,
,22,22,,0.4375,4.092128753662109
0.0003931458049919456,23,23,1.0,,
,23,23,,0.4375,4.113341808319092
0.0003461219312157482,24,24,1.0,,
,24,24,,0.4375,4.133118152618408
0.0003391862555872649,25,25,1.0,,
,25,25,,0.46875,4.157418251037598
0.00025472656125202775,26,26,1.0,,
,26,26,,0.46875,4.189525604248047
0.000174829809111543,27,27,1.0,,
,27,27,,0.46875,4.229914665222168
0.0001762898755259812,28,28,1.0,,
,28,28,,0.5,4.276278495788574
0.00021809115423820913,29,29,1.0,,
,29,29,,0.5,4.3261308670043945
0.0001614089123904705,30,30,1.0,,
,30,30,,0.5,4.37839412689209
0.0002842290559783578,31,31,1.0,,
,31,31,,0.5,4.430451393127441
0.0001297599810641259,32,32,1.0,,
,32,32,,0.46875,4.482026100158691
0.00012048119242535904,33,33,1.0,,
,33,33,,0.46875,4.5323486328125
0.00014384354290086776,34,34,1.0,,
,34,34,,0.5,4.580690383911133
