train_loss,train_acc,epoch,step,val_loss,val_acc
1.7171404361724854,0.125,0,0,,
,,0,0,1.0977232456207275,0.375
0.8471040725708008,0.625,1,1,,
,,1,1,1.019875168800354,0.5
0.5150743126869202,0.875,2,2,,
,,2,2,1.4796767234802246,0.34375
0.3362186849117279,0.875,3,3,,
,,3,3,1.2457530498504639,0.4375
0.15232355892658234,1.0,4,4,,
,,4,4,1.2282826900482178,0.46875
0.1516142636537552,0.9375,5,5,,
,,5,5,1.412197470664978,0.4375
0.05097449570894241,1.0,6,6,,
,,6,6,1.845104694366455,0.5
0.062191441655159,1.0,7,7,,
,,7,7,1.9811729192733765,0.46875
0.03442181646823883,1.0,8,8,,
,,8,8,2.027677297592163,0.4375
0.01964496076107025,1.0,9,9,,
,,9,9,2.1603031158447266,0.4375
0.01923103630542755,1.0,10,10,,
,,10,10,2.373182773590088,0.4375
0.013602926395833492,1.0,11,11,,
,,11,11,2.6329379081726074,0.4375
0.009523464366793633,1.0,12,12,,
,,12,12,2.9147205352783203,0.4375
0.004736254457384348,1.0,13,13,,
,,13,13,3.1884756088256836,0.4375
0.00384705513715744,1.0,14,14,,
,,14,14,3.4364545345306396,0.4375
0.00321892905049026,1.0,15,15,,
,,15,15,3.655686616897583,0.4375
0.0037410215009003878,1.0,16,16,,
,,16,16,3.8439738750457764,0.4375
0.0030533713288605213,1.0,17,17,,
,,17,17,4.006386756896973,0.4375
0.0032782708294689655,1.0,18,18,,
,,18,18,4.145566940307617,0.4375
0.002222563838586211,1.0,19,19,,
,,19,19,4.2674560546875,0.4375
