train_acc,step,epoch,train_loss,val_acc,val_loss
0.28125,15,0,1.15375554561615,,
0.65625,31,0,0.6686636805534363,,
0.40625,47,0,1.2006268501281738,,
0.625,63,0,0.9294494986534119,,
0.375,79,0,1.2523140907287598,,
0.46875,95,0,1.2119650840759277,,
0.25,111,0,1.2486159801483154,,
0.65625,127,0,0.7650598287582397,,
,130,0,,0.5577380657196045,1.028137445449829
0.5,143,1,0.9239699244499207,,
0.4375,159,1,1.1101884841918945,,
0.4375,175,1,1.1121057271957397,,
0.71875,191,1,0.5389176607131958,,
0.625,207,1,0.7185325622558594,,
0.4375,223,1,1.0895532369613647,,
0.375,239,1,1.1921780109405518,,
0.59375,255,1,0.8631654977798462,,
,261,1,,0.5089285969734192,1.1539809703826904
0.6875,271,2,0.7654327154159546,,
0.4375,287,2,0.8963642120361328,,
0.6875,303,2,0.8184464573860168,,
0.625,319,2,0.7926006317138672,,
0.65625,335,2,0.7745736241340637,,
0.53125,351,2,0.9273354411125183,,
0.65625,367,2,0.8635272979736328,,
0.375,383,2,1.0527722835540771,,
,392,2,,0.5011904835700989,1.0795462131500244
0.5,399,3,1.178299069404602,,
0.75,415,3,0.6769678592681885,,
0.4375,431,3,1.2951937913894653,,
0.5625,447,3,0.7401449084281921,,
0.6875,463,3,0.8455790281295776,,
0.4375,479,3,1.0159000158309937,,
0.53125,495,3,1.025470495223999,,
0.53125,511,3,1.0968132019042969,,
,523,3,,0.43690475821495056,1.0977768898010254
0.625,527,4,0.8582965731620789,,
0.53125,543,4,0.898005485534668,,
0.4375,559,4,1.0841498374938965,,
0.34375,575,4,1.0560822486877441,,
0.5,591,4,1.0475023984909058,,
0.375,607,4,1.350821852684021,,
0.625,623,4,0.9189041256904602,,
0.3125,639,4,1.2913438081741333,,
,654,4,,0.47380951046943665,1.0351487398147583
0.375,655,5,1.0942754745483398,,
0.46875,671,5,0.9857314825057983,,
0.53125,687,5,1.0305088758468628,,
0.46875,703,5,1.0534751415252686,,
0.4375,719,5,1.1377218961715698,,
0.46875,735,5,1.0215061902999878,,
0.53125,751,5,1.01670503616333,,
0.46875,767,5,1.1036436557769775,,
0.6875,783,5,0.847433865070343,,
,785,5,,0.4654761850833893,1.0355584621429443
0.40625,799,6,1.0989916324615479,,
0.5,815,6,1.0247873067855835,,
0.53125,831,6,0.9210371971130371,,
0.375,847,6,1.090502381324768,,
0.625,863,6,0.8441927433013916,,
0.375,879,6,1.1670646667480469,,
0.5,895,6,1.0496494770050049,,
0.34375,911,6,0.976095974445343,,
,916,6,,0.4809523820877075,1.0340359210968018
0.375,927,7,1.07823646068573,,
0.46875,943,7,1.1004670858383179,,
0.53125,959,7,1.058844804763794,,
0.46875,975,7,1.0231684446334839,,
0.65625,991,7,0.8010868430137634,,
0.3125,1007,7,1.099950909614563,,
0.625,1023,7,0.9603030681610107,,
0.375,1039,7,1.0991733074188232,,
,1047,7,,0.49047619104385376,1.011605978012085
0.5625,1055,8,0.8561994433403015,,
0.4375,1071,8,0.9864789247512817,,
0.75,1087,8,0.7136573195457458,,
0.1875,1103,8,1.239581823348999,,
0.5,1119,8,1.0665178298950195,,
0.65625,1135,8,0.7812556028366089,,
0.46875,1151,8,1.038405418395996,,
0.59375,1167,8,0.967320442199707,,
,1178,8,,0.4773809611797333,1.0361764430999756
0.34375,1183,9,1.0317219495773315,,
0.46875,1199,9,1.0948501825332642,,
0.3125,1215,9,1.1247038841247559,,
0.46875,1231,9,0.9528773427009583,,
0.4375,1247,9,1.0155211687088013,,
0.375,1263,9,1.1866486072540283,,
0.71875,1279,9,0.7925869822502136,,
0.625,1295,9,0.9506056308746338,,
,1309,9,,0.47559523582458496,1.0197834968566895
0.375,1311,10,1.0904662609100342,,
0.5,1327,10,1.02620530128479,,
0.40625,1343,10,1.0863842964172363,,
0.5,1359,10,0.8638496398925781,,
0.625,1375,10,0.9382300972938538,,
0.375,1391,10,1.2282521724700928,,
0.15625,1407,10,1.2053155899047852,,
0.40625,1423,10,1.0806339979171753,,
0.3125,1439,10,1.2087910175323486,,
,1440,10,,0.449404776096344,1.0496106147766113
0.40625,1455,11,0.993862509727478,,
0.59375,1471,11,0.865455150604248,,
0.375,1487,11,1.049743413925171,,
0.53125,1503,11,0.9897748827934265,,
0.53125,1519,11,0.9377970099449158,,
0.59375,1535,11,0.9666924476623535,,
0.59375,1551,11,0.9661552309989929,,
0.375,1567,11,1.0373501777648926,,
,1571,11,,0.488095223903656,1.0252667665481567
0.4375,1583,12,1.1041375398635864,,
0.5625,1599,12,0.9492424130439758,,
0.53125,1615,12,0.8305789828300476,,
0.59375,1631,12,0.9077818989753723,,
0.4375,1647,12,0.8002218008041382,,
0.46875,1663,12,1.027162790298462,,
0.5,1679,12,0.8248987197875977,,
0.71875,1695,12,0.7932774424552917,,
,1702,12,,0.4672619104385376,1.0372706651687622
0.5625,1711,13,0.966683030128479,,
0.46875,1727,13,0.9673770070075989,,
0.65625,1743,13,0.8209205269813538,,
0.4375,1759,13,1.0435426235198975,,
0.59375,1775,13,0.8251426815986633,,
0.625,1791,13,0.866112470626831,,
0.625,1807,13,0.8815321922302246,,
0.53125,1823,13,0.8527801036834717,,
,1833,13,,0.4714285731315613,1.0301969051361084
