epoch,val_loss,step,val_acc
0,1.5647854804992676,0,0.4375
1,4.370143413543701,1,0.09375
2,3.091306686401367,2,0.625
3,1.1195582151412964,3,0.625
4,2.481342315673828,4,0.28125
5,2.414212942123413,5,0.28125
6,1.6957646608352661,6,0.28125
7,1.3856964111328125,7,0.09375
8,1.1329901218414307,8,0.625
9,1.0085325241088867,9,0.625
10,1.2959927320480347,10,0.4375
11,0.9654192328453064,11,0.5625
12,1.0468816757202148,12,0.5
13,1.0286120176315308,13,0.5625
14,1.0348877906799316,14,0.4375
15,1.076049566268921,15,0.28125
16,1.1056687831878662,16,0.28125
17,1.0879331827163696,17,0.28125
18,1.0403165817260742,18,0.28125
19,0.999683141708374,19,0.4375
20,0.9882887005805969,20,0.625
