step,epoch,train_loss,train_acc,val_loss,val_acc
0,0,1.833516001701355,0.15625,,
1,0,2.645606279373169,0.375,,
1,0,,,4.0261735916137695,0.484375
2,1,5.331618785858154,0.375,,
3,1,1.4042141437530518,0.375,,
3,1,,,2.4753074645996094,0.421875
4,2,2.1345229148864746,0.40625,,
5,2,1.7053295373916626,0.375,,
5,2,,,1.4920157194137573,0.21875
6,3,1.5310282707214355,0.25,,
7,3,1.3603795766830444,0.28125,,
7,3,,,1.3008848428726196,0.484375
8,4,1.2179960012435913,0.375,,
9,4,1.0895826816558838,0.46875,,
9,4,,,1.3433706760406494,0.296875
10,5,1.2566910982131958,0.375,,
11,5,1.2120860815048218,0.375,,
11,5,,,1.1864535808563232,0.3125
12,6,1.1484979391098022,0.40625,,
13,6,1.0401307344436646,0.46875,,
13,6,,,1.0991400480270386,0.484375
14,7,1.1050423383712769,0.375,,
15,7,1.1159287691116333,0.4375,,
15,7,,,1.1278018951416016,0.34375
16,8,1.1445132493972778,0.25,,
17,8,1.0736138820648193,0.46875,,
17,8,,,1.0932223796844482,0.390625
18,9,1.0570499897003174,0.46875,,
19,9,1.0766582489013672,0.34375,,
19,9,,,1.1446541547775269,0.375
20,10,1.098622441291809,0.4375,,
21,10,1.0808632373809814,0.4375,,
21,10,,,1.1292883157730103,0.4375
22,11,1.110939383506775,0.5,,
23,11,1.081337332725525,0.4375,,
23,11,,,1.0836873054504395,0.390625
24,12,1.0914336442947388,0.375,,
25,12,1.0411481857299805,0.5,,
25,12,,,1.1004395484924316,0.453125
26,13,1.0785551071166992,0.40625,,
27,13,1.111158013343811,0.34375,,
27,13,,,1.1058497428894043,0.4375
28,14,1.087307095527649,0.375,,
29,14,1.0538408756256104,0.46875,,
29,14,,,1.0792431831359863,0.390625
30,15,1.0537525415420532,0.46875,,
31,15,1.0351074934005737,0.4375,,
31,15,,,1.0956757068634033,0.453125
32,16,1.0973091125488281,0.4375,,
33,16,1.023747205734253,0.5,,
33,16,,,1.111309289932251,0.390625
34,17,1.0826154947280884,0.4375,,
35,17,1.045109748840332,0.46875,,
35,17,,,1.1016454696655273,0.390625
36,18,1.0586113929748535,0.40625,,
37,18,1.06089186668396,0.53125,,
37,18,,,1.0891382694244385,0.4375
38,19,1.0545721054077148,0.40625,,
39,19,1.0669995546340942,0.40625,,
39,19,,,1.0811240673065186,0.390625
40,20,1.0834046602249146,0.4375,,
41,20,1.0341861248016357,0.4375,,
41,20,,,1.083256483078003,0.4375
42,21,1.0696022510528564,0.4375,,
43,21,1.057827353477478,0.4375,,
43,21,,,1.095299482345581,0.40625
44,22,1.0611319541931152,0.40625,,
45,22,1.052209496498108,0.4375,,
45,22,,,1.098443865776062,0.375
46,23,1.0787566900253296,0.4375,,
47,23,1.060806155204773,0.46875,,
47,23,,,1.08517324924469,0.4375
48,24,1.0620403289794922,0.46875,,
49,24,1.0358397960662842,0.46875,,
49,24,,,1.0820362567901611,0.390625
50,25,1.0619546175003052,0.5,,
51,25,1.0788373947143555,0.34375,,
51,25,,,1.0849604606628418,0.4375
52,26,1.0686701536178589,0.4375,,
53,26,1.0760483741760254,0.40625,,
53,26,,,1.0933094024658203,0.375
54,27,1.0559877157211304,0.5,,
55,27,1.0416251420974731,0.4375,,
55,27,,,1.0940914154052734,0.390625
56,28,1.0824809074401855,0.46875,,
57,28,1.0489888191223145,0.46875,,
57,28,,,1.0897037982940674,0.4375
58,29,1.0507839918136597,0.4375,,
59,29,1.0547407865524292,0.4375,,
59,29,,,1.0884513854980469,0.390625
60,30,1.0781364440917969,0.4375,,
61,30,1.057753324508667,0.53125,,
61,30,,,1.0940124988555908,0.421875
62,31,1.0767629146575928,0.40625,,
63,31,1.0452784299850464,0.4375,,
63,31,,,1.0958225727081299,0.4375
64,32,1.061734676361084,0.5,,
65,32,1.0304288864135742,0.4375,,
65,32,,,1.0926159620285034,0.375
66,33,1.0811163187026978,0.40625,,
67,33,1.0354080200195312,0.5,,
67,33,,,1.0984196662902832,0.4375
68,34,1.0353800058364868,0.53125,,
69,34,1.049231767654419,0.375,,
69,34,,,1.100903034210205,0.421875
