epoch,train_loss,step,train_acc,val_acc,val_loss
0,1.6983994245529175,0,0.1875,,
0,,0,,0.4375,1.3184430599212646
1,1.3737629652023315,1,0.5,,
1,,1,,0.09375,6.396755218505859
2,4.731832027435303,2,0.25,,
2,,2,,0.625,1.7935062646865845
3,1.092430830001831,3,0.6875,,
3,,3,,0.28125,1.2735590934753418
4,1.1573407649993896,4,0.375,,
4,,4,,0.625,0.9323062896728516
5,1.3806943893432617,5,0.375,,
5,,5,,0.25,1.8651047945022583
6,1.298182487487793,6,0.40625,,
6,,6,,0.28125,1.8130066394805908
7,1.0199443101882935,7,0.5,,
7,,7,,0.4375,1.16383695602417
8,0.8051728010177612,8,0.6875,,
8,,8,,0.46875,1.1001003980636597
9,1.0376477241516113,9,0.5,,
9,,9,,0.375,1.3204853534698486
